OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLKGRPCE20,GEOID20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,ShapeSTArea,ShapeSTLength
4080,24,031,700903,1,240317009031,Block Group 1,G5030,S,3837935,18627,+39.0963997,-077.1278026,6411367.45703125,11506.1706322517
4081,24,031,701101,4,240317011014,Block Group 4,G5030,S,431071,0,+39.0798769,-077.1224184,716361.87109375,5237.41626409365
4082,24,033,803508,2,240338035082,Block Group 2,G5030,S,930573,0,+38.9279433,-076.8665699,1539851.40234375,5380.8095830458
4083,24,033,803508,3,240338035083,Block Group 3,G5030,S,273692,0,+38.9225731,-076.8614778,452822.25390625,3336.65342988393
4084,24,033,803509,1,240338035091,Block Group 1,G5030,S,1091937,3091,+38.9322613,-076.8770075,1812191.5390625,6117.46049391081
4085,24,033,803509,2,240338035092,Block Group 2,G5030,S,1121380,0,+38.9324866,-076.8876423,1855826.71484375,7651.0743643266
4086,24,033,803512,1,240338035121,Block Group 1,G5030,S,2639532,0,+38.8758004,-076.8365029,4361388.7265625,9734.35204696366
4087,24,021,766800,4,240217668004,Block Group 4,G5030,S,3872155,0,+39.7093596,-077.3056646,6550999.83203125,11603.6546449462
4088,24,021,752301,3,240217523013,Block Group 3,G5030,S,336290,0,+39.3686894,-077.4395860,563431.68359375,3438.47873277056
4089,24,021,752301,2,240217523012,Block Group 2,G5030,S,2661965,0,+39.3633505,-077.4249953,4459254.01953125,11484.5810894192
4090,24,021,752502,2,240217525022,Block Group 2,G5030,S,20977399,16045,+39.3306380,-077.5307733,35133011.65625,27926.8416879581
4091,24,021,752303,2,240217523032,Block Group 2,G5030,S,20108702,15414,+39.3475109,-077.4820628,33695984.0078125,29322.6192659666
4092,24,035,810901,2,240358109012,Block Group 2,G5030,S,3268973,1860817,+38.9676788,-076.3401101,8498019.46875,13148.079726995
4093,24,035,810902,1,240358109021,Block Group 1,G5030,S,7580606,3979885,+38.8713114,-076.3481070,19097435.890625,23973.0917831456
4094,24,005,492700,1,240054927001,Block Group 1,G5030,S,12380089,15014636,+39.2186680,-076.4814625,45698373.578125,33871.8538529194
4095,24,005,492700,3,240054927003,Block Group 3,G5030,S,1322833,4112108,+39.2251574,-076.5180454,9070260.421875,14180.3425637379
4096,24,005,492700,2,240054927002,Block Group 2,G5030,S,384663,91332,+39.2429007,-076.5038874,794668.62890625,5331.01566854367
4097,24,005,492700,4,240054927004,Block Group 4,G5030,S,283029,325741,+39.2389360,-076.5012745,1016204.546875,4810.00585194147
4098,24,009,860103,1,240098601031,Block Group 1,G5030,S,11628575,47760,+38.7305815,-076.6471543,19217216.7539062,19873.334108516
4099,24,009,860103,3,240098601033,Block Group 3,G5030,S,18848706,2079220,+38.7279273,-076.6765546,34432948.7773438,36542.5924322301
4100,24,009,860403,2,240098604032,Block Group 2,G5030,S,1197498,40466,+38.6930556,-076.5436371,2035209.1640625,8348.72599544347
4101,24,009,861003,4,240098610034,Block Group 4,G5030,S,1098910,59568,+38.3515659,-076.4227366,1886549.76171875,6335.13367349718
4102,24,009,860403,1,240098604031,Block Group 1,G5030,S,6385562,28896,+38.6822066,-076.5637579,10543254.0234375,18157.1144769379
4103,24,009,860404,2,240098604042,Block Group 2,G5030,S,435124,0,+38.7037636,-076.5349330,715533.3203125,3600.27157645857
4104,24,009,860103,2,240098601032,Block Group 2,G5030,S,6077620,11583,+38.7606919,-076.6365637,10027984.078125,14923.0363801499
4105,24,009,860901,1,240098609011,Block Group 1,G5030,S,9629258,2068449,+38.3707804,-076.4612805,19059420.9609375,22225.9323612304
4106,24,009,860902,1,240098609021,Block Group 1,G5030,S,19807608,5812537,+38.4015851,-076.4705743,41777340.640625,32418.7594915549
4107,24,009,860901,2,240098609012,Block Group 2,G5030,S,4543683,6267087,+38.3297117,-076.4611718,17595462.4570312,20361.790226818
4108,24,009,861100,1,240098611001,Block Group 1,G5030,S,32908964,6716286,+38.4163428,-076.4425016,64652137.625,49120.6923362405
4109,24,009,860404,1,240098604041,Block Group 1,G5030,S,5157603,1738683,+38.7167826,-076.5502130,11343172.34375,21147.8086789349
4110,24,009,860404,3,240098604043,Block Group 3,G5030,S,4350405,0,+38.7053677,-076.5548025,7154298.92578125,13747.4311842173
4111,24,009,860901,3,240098609013,Block Group 3,G5030,S,6222190,521367,+38.3519209,-076.4400033,10982673.1835938,16682.3811921851
4112,24,009,861100,2,240098611002,Block Group 2,G5030,S,22534246,3367757,+38.5112195,-076.5156473,42363610.8359375,36320.4758865407
4113,24,005,450504,3,240054505043,Block Group 3,G5030,S,168369,0,+39.3029927,-076.4471525,281565.87890625,2103.07210557654
4114,24,005,411412,1,240054114121,Block Group 1,G5030,S,428362,0,+39.3842554,-076.5072209,718004.5,5311.01150251384
4115,24,005,403401,1,240054034011,Block Group 1,G5030,S,796666,0,+39.3792723,-076.7359989,1335156.9609375,5194.14147247321
4116,24,005,492402,3,240054924023,Block Group 3,G5030,S,1727814,5768,+39.4002515,-076.8116861,2906972.70703125,9482.15924634949
4117,24,005,451402,4,240054514024,Block Group 4,G5030,S,516334,0,+39.3393518,-076.4424801,864355.22265625,5113.21640013955
